,date,sale_id,item_id,total_order_amount,qty_sold
0,2013-11-05,0,174,2361.6183986341557,1
1,2013-11-18,1,10,215.86716569709262,1
2,2013-11-20,2,179,502.8721842834016,2
3,2013-11-20,2,162,502.8721842834016,2
4,2013-11-22,3,171,2316.966268215693,2
5,2013-11-22,3,182,2316.966268215693,2
6,2013-11-24,4,179,1243.2624767658126,2
7,2013-11-24,4,185,1243.2624767658126,2
8,2013-12-03,5,199,659.8762570026022,6
9,2013-12-03,5,179,659.8762570026022,6
10,2013-12-03,5,195,659.8762570026022,6
11,2013-12-03,5,174,659.8762570026022,6
12,2013-12-03,5,162,659.8762570026022,6
13,2013-12-03,5,198,659.8762570026022,6
14,2013-12-04,6,144,273.0499671406481,2
15,2013-12-04,6,69,273.0499671406481,2
16,2013-12-12,7,57,263.49592529424064,9
17,2013-12-12,7,47,263.49592529424064,9
18,2013-12-12,7,83,263.49592529424064,9
19,2013-12-12,7,80,263.49592529424064,9
20,2013-12-12,7,10,263.49592529424064,9
21,2013-12-12,7,117,263.49592529424064,9
22,2013-12-12,7,14,263.49592529424064,9
23,2013-12-12,7,90,263.49592529424064,9
24,2013-12-12,7,88,263.49592529424064,9
25,2013-12-13,8,186,400.14299481444914,8
26,2013-12-13,8,167,400.14299481444914,8
27,2013-12-13,8,192,400.14299481444914,8
28,2013-12-13,8,142,400.14299481444914,8
29,2013-12-13,8,162,400.14299481444914,8
30,2013-12-13,8,173,400.14299481444914,8
31,2013-12-13,8,151,400.14299481444914,8
32,2013-12-13,8,134,400.14299481444914,8
33,2013-12-13,9,191,800.7598466561141,2
34,2013-12-13,9,166,800.7598466561141,2
35,2013-12-17,10,118,1412.245761844591,2
36,2013-12-17,10,128,1412.245761844591,2
37,2013-12-19,11,98,1710.885553584875,3
38,2013-12-19,11,95,1710.885553584875,3
39,2013-12-19,11,119,1710.885553584875,3
40,2013-12-21,12,130,49.4758559501965,8
41,2013-12-21,12,154,49.4758559501965,8
42,2013-12-21,12,155,49.4758559501965,8
43,2013-12-21,12,181,49.4758559501965,8
44,2013-12-21,12,120,49.4758559501965,8
45,2013-12-21,12,118,49.4758559501965,8
46,2013-12-21,12,77,49.4758559501965,8
47,2013-12-21,12,120,49.4758559501965,8
48,2013-12-31,13,101,1359.1011851578498,1
49,2014-01-02,14,31,1736.5652152858127,1
50,2014-01-03,15,139,2464.8408998745736,1
51,2014-01-07,16,10,188.53162512708028,2
52,2014-01-07,16,30,188.53162512708028,2
53,2014-01-09,17,182,1370.8091573368256,5
54,2014-01-09,17,179,1370.8091573368256,5
55,2014-01-09,17,139,1370.8091573368256,5
56,2014-01-09,17,173,1370.8091573368256,5
57,2014-01-09,17,171,1370.8091573368256,5
58,2014-01-12,18,80,143.54405588552262,2
59,2014-01-12,18,39,143.54405588552262,2
60,2014-01-12,19,26,1168.8981662569465,2
61,2014-01-12,19,69,1168.8981662569465,2
62,2014-01-13,20,163,2252.8680085285932,2
63,2014-01-13,20,151,2252.8680085285932,2
64,2014-01-14,21,175,403.938410147584,1
65,2014-01-21,22,150,2123.6356879257282,2
66,2014-01-21,22,148,2123.6356879257282,2
67,2014-01-22,23,121,176.08184391349653,3
68,2014-01-22,23,147,176.08184391349653,3
69,2014-01-22,23,88,176.08184391349653,3
70,2014-01-24,24,183,1060.69949040642,2
71,2014-01-24,24,177,1060.69949040642,2
72,2014-01-28,25,132,681.4384076098385,2
73,2014-01-28,25,167,681.4384076098385,2
74,2014-01-29,26,176,812.256112116925,2
75,2014-01-29,26,172,812.256112116925,2
76,2014-01-29,27,57,1357.7623550282988,2
77,2014-01-29,27,78,1357.7623550282988,2
78,2014-01-31,28,98,915.6572761924413,2
79,2014-01-31,28,99,915.6572761924413,2
80,2014-02-04,29,118,140.3151460093982,1
81,2014-02-05,30,102,230.4222614400163,7
82,2014-02-05,30,141,230.4222614400163,7
83,2014-02-05,30,97,230.4222614400163,7
84,2014-02-05,30,99,230.4222614400163,7
85,2014-02-05,30,79,230.4222614400163,7
86,2014-02-05,30,32,230.4222614400163,7
87,2014-02-05,30,17,230.4222614400163,7
88,2014-02-06,31,16,1106.3864478962494,2
89,2014-02-06,31,30,1106.3864478962494,2
90,2014-02-09,32,66,785.0357779885829,2
91,2014-02-09,32,54,785.0357779885829,2
92,2014-02-10,33,57,211.22701145351837,6
93,2014-02-10,33,91,211.22701145351837,6
94,2014-02-10,33,81,211.22701145351837,6
95,2014-02-10,33,39,211.22701145351837,6
96,2014-02-10,33,92,211.22701145351837,6
97,2014-02-10,33,123,211.22701145351837,6
98,2014-02-14,34,87,406.3830780061497,4
99,2014-02-14,34,62,406.3830780061497,4
100,2014-02-14,34,128,406.3830780061497,4
101,2014-02-14,34,47,406.3830780061497,4
102,2014-02-17,35,127,203.55758611182068,1
103,2014-02-19,36,139,555.6853899709585,3
104,2014-02-19,36,180,555.6853899709585,3
105,2014-02-19,36,111,555.6853899709585,3
106,2014-02-24,37,101,718.8622992811928,1
107,2014-02-25,38,150,1366.3951796984668,1
108,2014-02-26,39,108,149.3630123687766,8
109,2014-02-26,39,141,149.3630123687766,8
110,2014-02-26,39,141,149.3630123687766,8
111,2014-02-26,39,127,149.3630123687766,8
112,2014-02-26,39,152,149.3630123687766,8
113,2014-02-26,39,196,149.3630123687766,8
114,2014-02-26,39,147,149.3630123687766,8
115,2014-02-26,39,157,149.3630123687766,8
116,2014-02-27,40,53,139.12008556830446,5
117,2014-02-27,40,54,139.12008556830446,5
118,2014-02-27,40,52,139.12008556830446,5
119,2014-02-27,40,60,139.12008556830446,5
120,2014-02-27,40,36,139.12008556830446,5
121,2014-02-27,41,163,553.728073876621,6
122,2014-02-27,41,155,553.728073876621,6
123,2014-02-27,41,164,553.728073876621,6
124,2014-02-27,41,159,553.728073876621,6
125,2014-02-27,41,168,553.728073876621,6
126,2014-02-27,41,165,553.728073876621,6
127,2014-03-03,42,38,119.43961057157804,1
128,2014-03-06,43,19,786.0535559395056,2
129,2014-03-06,43,60,786.0535559395056,2
130,2014-03-07,44,79,1387.2674836816195,2
131,2014-03-07,44,148,1387.2674836816195,2
132,2014-03-10,45,11,827.0701199171623,1
133,2014-03-10,46,186,406.8867298735923,2
134,2014-03-10,46,137,406.8867298735923,2
135,2014-03-12,47,135,1535.4980327491928,1
136,2014-03-12,48,197,105.04178273763675,7
137,2014-03-12,48,138,105.04178273763675,7
138,2014-03-12,48,176,105.04178273763675,7
139,2014-03-12,48,168,105.04178273763675,7
140,2014-03-12,48,169,105.04178273763675,7
141,2014-03-12,48,189,105.04178273763675,7
142,2014-03-12,48,194,105.04178273763675,7
143,2014-03-12,49,131,609.9791033629665,1
